Date,BTC-USD,NVDA,SPY,UUUU
2020-11-04,14133.70703125,13.752269744873047,320.2689208984375,1.4900000095367432
2020-11-05,15579.8486328125,14.116908073425293,326.5149841308594,1.6200000047683716
2020-11-06,15565.880859375,14.517683982849121,326.4404602050781,1.6200000047683716
2020-11-07,14833.75390625,,,
2020-11-08,15479.5673828125,,,
2020-11-09,15332.3154296875,13.58926773071289,330.5423889160156,1.6200000047683716
2020-11-10,15290.90234375,12.731138229370117,330.0575866699219,1.7300000190734863
2020-11-11,15701.33984375,13.377163887023926,332.50946044921875,1.840000033378601
2020-11-12,16276.34375,13.41579532623291,329.2838439941406,1.7400000095367432
2020-11-13,16317.80859375,13.256532669067383,333.8426208496094,1.7300000190734863
2020-11-14,16068.138671875,,,
2020-11-15,15955.587890625,,,
2020-11-16,16716.111328125,13.47411823272705,338.009765625,1.8200000524520874
2020-11-17,17645.40625,13.381402015686035,336.19189453125,1.7699999809265137
2020-11-18,17804.005859375,13.3878812789917,332.1458435058594,1.7999999523162842
2020-11-19,17817.08984375,13.399347305297852,333.5443115234375,1.8200000524520874
2020-11-20,18621.314453125,13.047921180725098,331.2602233886719,1.8300000429153442
2020-11-21,18642.232421875,,,
2020-11-22,18370.001953125,,,
2020-11-23,18364.12109375,13.10000991821289,333.2459411621094,1.909999966621399
2020-11-24,19107.46484375,12.918316841125488,338.61578369140625,2.119999885559082
2020-11-25,18732.12109375,13.19447135925293,338.0937194824219,2.1500000953674316
2020-11-26,17150.623046875,,,
2020-11-27,17108.40234375,13.220890998840332,339.0353088378906,2.009999990463257
2020-11-28,17717.4140625,,,
2020-11-29,18177.484375,,,
2020-11-30,19625.8359375,13.360716819763184,337.5343322753906,2.0799999237060547
2020-12-01,18802.998046875,13.349248886108398,341.2260437011719,1.9800000190734863
2020-12-02,19201.091796875,13.503279685974121,341.9439697265625,2.259999990463257
2020-12-03,19445.3984375,13.359177589416504,341.8507080078125,2.2100000381469727
2020-12-04,18699.765625,13.520981788635254,344.7966003417969,2.5799999237060547
2020-12-05,19154.23046875,,,
2020-12-06,19345.12109375,,,
2020-12-07,19191.630859375,13.56934642791748,344.088134765625,2.8499999046325684
2020-12-08,18321.14453125,13.313305854797363,345.09490966796875,2.859999895095825
2020-12-09,18553.916015625,12.895206451416016,341.9998779296875,2.609999895095825
2020-12-10,18264.9921875,12.936593055725098,341.88812255859375,3.049999952316284
2020-12-11,18058.904296875,12.977479934692383,341.4871520996094,3.059999942779541
2020-12-12,18803.65625,,,
2020-12-13,19142.3828125,,,
2020-12-14,19246.64453125,13.272167205810547,339.9582214355469,3.059999942779541
2020-12-15,19417.076171875,13.323775291442871,344.55426025390625,3.2799999713897705
2020-12-16,21310.59765625,13.206100463867188,345.09490966796875,3.140000104904175
2020-12-17,22805.162109375,13.304576873779297,347.0247802734375,3.569999933242798
2020-12-18,23137.9609375,13.235516548156738,345.6391296386719,3.490000009536743
2020-12-19,23869.83203125,,,
2020-12-20,23477.294921875,,,
2020-12-21,22803.08203125,13.295601844787598,344.40325927734375,3.430000066757202
2020-12-22,23783.029296875,13.241753578186035,343.82275390625,3.630000114440918
2020-12-23,23241.345703125,12.973490715026855,344.1318054199219,4.070000171661377
2020-12-24,23735.94921875,12.958029747009277,345.4705810546875,4.150000095367432
2020-12-25,24664.791015625,,,
2020-12-26,26437.037109375,,,
2020-12-27,26272.294921875,,,
2020-12-28,27084.80859375,12.864541053771973,348.4384765625,4.449999809265137
2020-12-29,27362.4375,12.907670974731445,347.773681640625,4.25
2020-12-30,28840.953125,13.109615325927734,348.2699890136719,4.309999942779541
2020-12-31,29001.720703125,13.019115447998047,350.0394287109375,4.260000228881836
2021-01-01,29374.15234375,,,
2021-01-02,32127.267578125,,,
2021-01-03,32782.0234375,,,
2021-01-04,31971.9140625,13.07745361328125,345.27398681640625,3.940000057220459
2021-01-05,33992.4296875,13.367902755737305,347.65203857421875,4.369999885559082
2021-01-06,36824.36328125,12.579826354980469,349.7304382324219,4.159999847412109
2021-01-07,39371.04296875,13.307317733764648,354.9266662597656,4.199999809265137
2021-01-08,40797.609375,13.240253448486328,356.9488220214844,4.010000228881836
2021-01-09,40254.546875,,,
2021-01-10,38356.44140625,,,
2021-01-11,35566.65625,13.584056854248047,354.5426940917969,3.9600000381469727
2021-01-12,33922.9609375,13.44768238067627,354.61761474609375,3.759999990463257
2021-01-13,37316.359375,13.494555473327637,355.572509765625,3.990000009536743
2021-01-14,39187.328125,13.163966178894043,354.3273620605469,4.21999979019165
2021-01-15,36825.3671875,12.824152946472168,351.74334716796875,3.9800000190734863
2021-01-16,36178.140625,,,
2021-01-17,35791.27734375,,,
2021-01-18,36630.07421875,,,
2021-01-19,36069.8046875,12.989446640014648,354.5052490234375,3.930000066757202
2021-01-20,35547.75,13.329010009765625,359.4112243652344,3.930000066757202
2021-01-21,30825.69921875,13.82938289642334,359.7388610839844,3.8499999046325684
2021-01-22,33005.76171875,13.674805641174316,358.4655456542969,3.940000057220459
2021-01-23,32067.642578125,,,
2021-01-24,32289.37890625,,,
2021-01-25,32366.392578125,13.61571979522705,359.8792724609375,3.890000104904175
2021-01-26,32569.849609375,13.398319244384766,359.3175048828125,4.210000038146973
2021-01-27,30432.546875,12.882244110107422,350.5357360839844,4.210000038146973
2021-01-28,33466.09765625,13.015125274658203,353.5503234863281,3.940000057220459
2021-01-29,34316.38671875,12.954045295715332,346.4723815917969,3.799999952316284
2021-01-30,34269.5234375,,,
2021-01-31,33114.359375,,,
